id,.bss,.comment,.data,.dynamic,.dynstr,.dynsym,.eh_frame,.eh_frame_hdr,.fini,.fini_array,.gnu.hash,.gnu.version,.gnu.version_r,.got,.init,.init_array,.input_size,.interp,.nice_value,.note.ABI-tag,.note.gnu.build-id,.plt,.plt.got,.rela.dyn,.rela.plt,.rodata,.shstrtab,.strtab,.symtab,.text,start_time,end_time,total_time
bub,17376,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2162,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525273925417175,1525273925441292,24117
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,35,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525273925426556,1525273925890817,464261
mat,394504,37,632,496,162,264,368,84,9,8,28,22,32,104,23,8,157,28,0,32,36,96,8,192,120,21,254,632,1824,2695,1525273925419334,1525273925462152,42818
ms,64,37,640,496,189,288,400,92,9,8,28,24,48,112,23,8,92313,28,0,32,36,112,8,192,144,20,254,655,1824,3227,1525273925420491,1525273925453623,33132
bub,77824,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9717,28,18,32,36,80,8,192,96,21,254,603,1752,2358,1525273925935733,1525273926353357,417624
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,30,28,3,32,36,64,8,192,72,21,254,585,1704,2039,1525273925940978,1525273925987658,46680
mat,540096,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,150,28,10,32,36,80,8,192,96,21,254,612,1800,2534,1525273925937557,1525273925985427,47870
ms,96080,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,12002,28,-12,32,36,96,8,192,120,20,254,635,1800,3122,1525273925935862,1525273925940675,4813
bub,77808,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9717,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525273926403880,1525273926818046,414166
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,30,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525273926396605,1525273926445246,48641
mat,540096,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,150,28,0,32,36,80,8,192,96,21,254,612,1800,2534,1525273926398686,1525273926446647,47961
ms,64,37,640,496,189,288,400,92,9,8,28,24,48,112,23,8,12002,28,0,32,36,112,8,192,144,20,254,655,1824,3227,1525273926397184,1525273926402745,5561
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,3758,28,18,32,36,96,8,192,120,21,254,623,1776,2431,1525273926866015,1525273926946546,80531
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,35,28,3,32,36,64,8,192,72,21,254,585,1704,2039,1525273926862104,1525273927342781,480677
mat,1371016,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,239,28,10,32,36,80,8,192,96,21,254,612,1800,2534,1525273926866152,1525273927029909,163757
ms,64,37,640,496,189,288,400,92,9,8,28,24,48,112,23,8,12748,28,-12,32,36,112,8,192,144,20,254,655,1824,3227,1525273926861991,1525273926867604,5613
bub,30128,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,3758,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525273927388294,1525273927455792,67498
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,35,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525273927388200,1525273927867359,479159
mat,914056,37,632,496,162,264,368,84,9,8,28,22,32,104,23,8,239,28,0,32,36,96,8,192,120,21,254,632,1824,2695,1525273927393116,1525273927563998,170882
ms,102048,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,12748,28,0,32,36,96,8,192,120,20,254,635,1800,3122,1525273927399036,1525273927403145,4109
bub,77824,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9717,28,1,32,36,80,8,192,96,21,254,603,1752,2358,1525273927911552,1525273928327815,416263
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,30,28,-2,32,36,64,8,192,72,21,254,585,1704,2039,1525273927911941,1525273927959437,47496
mat,540096,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,150,28,3,32,36,80,8,192,96,21,254,612,1800,2534,1525273927912831,1525273927960227,47396
ms,96096,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,12002,28,9,32,36,96,8,192,120,20,254,635,1800,3122,1525273927911851,1525273927916295,4444
