id,.bss,.comment,.data,.dynamic,.dynstr,.dynsym,.eh_frame,.eh_frame_hdr,.fini,.fini_array,.gnu.hash,.gnu.version,.gnu.version_r,.got,.init,.init_array,.input_size,.interp,.nice_value,.note.ABI-tag,.note.gnu.build-id,.plt,.plt.got,.rela.dyn,.rela.plt,.rodata,.shstrtab,.strtab,.symtab,.text,start_time,end_time,total_time
ms,543456,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,67923,28,-11,32,36,96,8,192,120,20,254,635,1800,3122,1525272411496524,1525272411521634,25110
bub,60624,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,7569,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525272411835172,1525272412091132,255960
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,31,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525272411834930,1525272411909449,74519
mat,295816,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,111,28,0,32,36,80,8,192,96,21,254,612,1800,2502,1525272411835876,1525272411854238,18362
ms,64,37,640,496,189,288,400,92,9,8,28,24,48,112,23,8,67923,28,0,32,36,112,8,192,144,20,254,655,1824,3227,1525272411848026,1525272411870359,22333
bub,35600,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,4439,28,10,32,36,80,8,192,96,21,254,603,1752,2358,1525272412145960,1525272412235780,89820
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,33,28,18,32,36,64,8,192,72,21,254,585,1704,2039,1525272412134291,1525272412323137,188846
mat,803848,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,183,28,-4,32,36,80,8,192,96,21,254,612,1800,2534,1525272412136700,1525272412208647,71947
ms,250160,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,31261,28,-15,32,36,96,8,192,120,20,254,635,1800,3122,1525272412136084,1525272412148409,12325
bub,35600,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,4439,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525272412365680,1525272412458760,93080
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,33,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525272412378443,1525272412561768,183325
mat,535944,37,632,496,162,264,368,84,9,8,28,22,32,104,23,8,183,28,0,32,36,96,8,192,120,21,254,632,1824,2695,1525272412369001,1525272412437061,68060
ms,250176,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,31261,28,0,32,36,96,8,192,120,20,254,635,1800,3122,1525272412367055,1525272412378688,11633
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,5062,28,-7,32,36,96,8,192,120,21,254,623,1776,2431,1525272412612969,1525272412744485,131516
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,36,28,7,32,36,64,8,192,72,21,254,585,1704,2039,1525272412613401,1525272413373358,759957
mat,669448,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,167,28,-11,32,36,80,8,192,96,21,254,612,1800,2534,1525272412614742,1525272412669219,54477
ms,404528,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,50557,28,-10,32,36,96,8,192,120,20,254,635,1800,3122,1525272412614798,1525272412633111,18313
bub,40560,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,5062,28,0,32,36,80,8,192,96,21,254,603,1752,2358,1525272413417150,1525272413536774,119624
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,36,28,0,32,36,64,8,192,72,21,254,585,1704,2039,1525272413416878,1525272414178575,761697
mat,669448,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,167,28,0,32,36,80,8,192,96,21,254,612,1800,2534,1525272413431836,1525272413483841,52005
ms,404544,37,632,496,182,264,400,92,9,8,28,22,48,104,23,8,50557,28,0,32,36,96,8,192,120,20,254,635,1800,3122,1525272413418978,1525272413437246,18268
bub,23616,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2942,28,6,32,36,80,8,192,96,21,254,603,1752,2358,1525272414223405,1525272414278786,55381
fib,48,37,616,496,150,216,368,84,9,8,28,18,32,88,23,8,30,28,4,32,36,64,8,192,72,21,254,585,1704,2039,1525272414223243,1525272414272030,48787
mat,2232712,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,305,28,-14,32,36,80,8,192,96,21,254,612,1800,2534,1525272414230657,1525272414528100,297443
