bub.c,6411,1
bub.c,6411,0
hs.c,74558,1
hs.c,74558,0
fac.c,4884,19
fac.c,4884,0
bub.c,7261,19
bub.c,7261,0
bub.c,1639,1
bub.c,1639,0
mat.c,292,1
mat.c,292,0
bub.c,9091,1
bub.c,9091,0
bub.c,6982,19
bub.c,6982,0
hs.c,49121,13
hs.c,49121,0
mat.c,149,1
mat.c,149,0
hs.c,6903,19
hs.c,6903,0
bub.c,8654,1
bub.c,8654,0
fac.c,769,7
fac.c,769,0
hs.c,25642,18
hs.c,25642,0
mat.c,175,1
mat.c,175,0
hs.c,77760,19
hs.c,77760,0
hs.c,63303,19
hs.c,63303,0
fac.c,815,9
fac.c,815,0
bub.c,2429,13
bub.c,2429,0
fac.c,4744,7
fac.c,4744,0
hs.c,21606,19
hs.c,21606,0
fac.c,3762,1
fac.c,3762,0
bub.c,4713,1
bub.c,4713,0
bub.c,1896,16
bub.c,1896,0
fac.c,4084,4
fac.c,4084,0
hs.c,30332,1
hs.c,30332,0
fac.c,4930,19
fac.c,4930,0
fac.c,4908,16
fac.c,4908,0
hs.c,54798,2
hs.c,54798,0
bub.c,5021,1
bub.c,5021,0
bub.c,5681,1
bub.c,5681,0
bub.c,8599,19
bub.c,8599,0
fac.c,1090,19
fac.c,1090,0
hs.c,32608,1
hs.c,32608,0
fac.c,3013,19
fac.c,3013,0
hs.c,33552,1
hs.c,33552,0
fac.c,785,7
fac.c,785,0
bub.c,3535,3
bub.c,3535,0
bub.c,9152,1
bub.c,9152,0
fac.c,1628,1
fac.c,1628,0
bub.c,3396,6
bub.c,3396,0
bub.c,8258,1
bub.c,8258,0
bub.c,6205,1
bub.c,6205,0
fac.c,3629,13
fac.c,3629,0
hs.c,55066,1
hs.c,55066,0
bub.c,9208,7
bub.c,9208,0
fac.c,935,1
fac.c,935,0
fac.c,1903,19
fac.c,1903,0
bub.c,6277,7
bub.c,6277,0
hs.c,88105,1
hs.c,88105,0
bub.c,5064,19
bub.c,5064,0
bub.c,4552,1
bub.c,4552,0
hs.c,83378,19
hs.c,83378,0
