bub,11968,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,1486,28,13,32,36,80,8,192,96,21,254,603,1752,2358,1525357726153184,1525357726169900,16716
bub,51376,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6411,28,18,32,36,80,8,192,96,21,254,603,1752,2358,1525357747742165,1525357747923992,181827
hs,596544,37,624,496,155,240,392,92,9,8,28,20,32,96,23,8,74558,28,14,32,36,80,8,192,96,20,254,609,1776,2669,1525357905408151,1525357905445267,37116
fac,160064,37,616,496,150,216,392,92,9,8,28,18,32,88,23,8,4884,28,18,32,36,64,8,192,72,21,254,598,1752,2423,1525357899378424,1525357899926341,547917
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,7261,28,5,32,36,96,8,192,120,21,254,623,1776,2431,1525357792824677,1525357793083324,258647
bub,13200,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,1639,28,2,32,36,80,8,192,96,21,254,603,1752,2358,1525357764880197,1525357764897019,16822
mat,2046432,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,292,28,15,32,36,80,8,192,96,21,254,612,1800,2630,1525357932388287,1525357932746240,357953
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,9091,28,3,32,36,96,8,192,120,21,254,623,1776,2431,1525357736522696,1525357736927939,405243
bub,55920,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6982,28,8,32,36,80,8,192,96,21,254,603,1752,2358,1525357759662043,1525357759876537,214494
hs,393040,37,624,496,155,240,392,92,9,8,28,20,32,96,23,8,49121,28,8,32,36,80,8,192,96,20,254,609,1776,2669,1525357917626031,1525357917650243,24212
mat,532936,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,149,28,9,32,36,80,8,192,96,21,254,612,1800,2646,1525357942791182,1525357942838701,47519
hs,55312,37,624,496,155,240,392,92,9,8,28,20,32,96,23,8,6903,28,7,32,36,80,8,192,96,20,254,609,1776,2669,1525357905355825,1525357905359701,3876
bub,69296,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,8654,28,11,32,36,80,8,192,96,21,254,603,1752,2358,1525357740423430,1525357740751665,328235
fac,64,37,624,496,157,240,392,92,9,8,28,20,32,96,23,8,769,28,6,32,36,80,8,192,96,21,254,618,1776,2528,1525357834147413,1525357834163552,16139
hs,205200,37,624,496,155,240,392,92,9,8,28,20,32,96,23,8,25642,28,12,32,36,80,8,192,96,20,254,609,1776,2669,1525357920340091,1525357920354000,13909
mat,735112,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,175,28,11,32,36,80,8,192,96,21,254,612,1800,2534,1525357941151912,1525357941210364,58452
hs,622144,37,624,496,155,240,392,92,9,8,28,20,32,96,23,8,77760,28,1,32,36,80,8,192,96,20,254,609,1776,2669,1525357906318951,1525357906356941,37990
hs,506496,37,624,496,155,240,392,92,9,8,28,20,32,96,23,8,63303,28,2,32,36,80,8,192,96,20,254,609,1776,2669,1525357923567121,1525357923597907,30786
fac,64,37,624,496,157,240,392,92,9,8,28,20,32,96,23,8,815,28,3,32,36,80,8,192,96,21,254,618,1776,2528,1525357839881113,1525357839895881,14768
bub,19504,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,2429,28,13,32,36,80,8,192,96,21,254,603,1752,2358,1525357707792931,1525357707823318,30387
fac,160064,37,616,496,150,216,392,92,9,8,28,18,32,88,23,8,4744,28,4,32,36,64,8,192,72,21,254,598,1752,2423,1525357889140325,1525357889659027,518702
hs,172912,37,624,496,155,240,392,92,9,8,28,20,32,96,23,8,21606,28,7,32,36,80,8,192,96,20,254,609,1776,2669,1525357916859776,1525357916871827,12051
fac,160064,37,616,496,150,216,392,92,9,8,28,18,32,88,23,8,3762,28,15,32,36,64,8,192,72,21,254,598,1752,2423,1525357880726092,1525357881042014,315922
bub,37776,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,4713,28,18,32,36,80,8,192,96,21,254,603,1752,2358,1525357788662278,1525357788762702,100424
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,1896,28,6,32,36,96,8,192,120,21,254,623,1776,2431,1525357782494975,1525357782517431,22456
fac,160080,37,616,496,150,216,392,92,9,8,28,18,32,88,23,8,4084,28,4,32,36,64,8,192,72,21,254,598,1752,2423,1525357845061034,1525357845435331,374297
hs,64,37,632,496,162,264,392,92,9,8,28,22,32,104,23,8,30332,28,18,32,36,96,8,192,120,20,254,629,1800,2758,1525357910679630,1525357910696344,16714
fac,64,37,624,496,157,240,392,92,9,8,28,20,32,96,23,8,4930,28,1,32,36,80,8,192,96,21,254,618,1776,2528,1525357821614831,1525357822175144,560313
fac,64,37,624,496,157,240,392,92,9,8,28,20,32,96,23,8,4908,28,16,32,36,80,8,192,96,21,254,618,1776,2528,1525357855101719,1525357855657812,556093
hs,438448,37,624,496,155,240,392,92,9,8,28,20,32,96,23,8,54798,28,16,32,36,80,8,192,96,20,254,609,1776,2669,1525357921737536,1525357921765234,27698
bub,40256,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,5021,28,13,32,36,80,8,192,96,21,254,603,1752,2358,1525357728896680,1525357729009238,112558
bub,45520,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,5681,28,14,32,36,80,8,192,96,21,254,603,1752,2358,1525357769524187,1525357769669712,145525
bub,68864,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,8599,28,19,32,36,80,8,192,96,21,254,603,1752,2358,1525357774045791,1525357774370521,324730
fac,160080,37,616,496,150,216,392,92,9,8,28,18,32,88,23,8,1090,28,12,32,36,64,8,192,72,21,254,598,1752,2423,1525357817364645,1525357817391915,27270
hs,260928,37,624,496,155,240,392,92,9,8,28,20,32,96,23,8,32608,28,1,32,36,80,8,192,96,20,254,609,1776,2669,1525357905544621,1525357905561137,16516
fac,160064,37,616,496,150,216,392,92,9,8,28,18,32,88,23,8,3013,28,2,32,36,64,8,192,72,21,254,598,1752,2423,1525357808991385,1525357809188016,196631
hs,64,37,632,496,162,264,392,92,9,8,28,22,32,104,23,8,33552,28,10,32,36,96,8,192,120,20,254,629,1800,2758,1525357922304237,1525357922322426,18189
fac,64,37,624,496,157,240,392,92,9,8,28,20,32,96,23,8,785,28,15,32,36,80,8,192,96,21,254,618,1776,2528,1525357845919386,1525357845934232,14846
bub,64,37,632,496,162,264,360,84,9,8,28,22,32,104,23,8,3535,28,18,32,36,96,8,192,120,21,254,623,1776,2431,1525357712194121,1525357712257202,63081
bub,73280,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9152,28,2,32,36,80,8,192,96,21,254,603,1752,2358,1525357699656932,1525357700025821,368889
fac,64,37,624,496,157,240,392,92,9,8,28,20,32,96,23,8,1628,28,11,32,36,80,8,192,96,21,254,618,1776,2528,1525357871084175,1525357871139659,55484
bub,27248,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,3396,28,1,32,36,80,8,192,96,21,254,603,1752,2358,1525357755688483,1525357755742860,54377
bub,66128,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,8258,28,6,32,36,80,8,192,96,21,254,603,1752,2358,1525357716064472,1525357716364781,300309
bub,49728,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,6205,28,6,32,36,80,8,192,96,21,254,603,1752,2358,1525357746234469,1525357746401740,167271
fac,160080,37,616,496,150,216,392,92,9,8,28,18,32,88,23,8,3629,28,3,32,36,64,8,192,72,21,254,598,1752,2423,1525357844731099,1525357845024419,293320
hs,440608,37,624,496,155,240,392,92,9,8,28,20,32,96,23,8,55066,28,5,32,36,80,8,192,96,20,254,609,1776,2669,1525357924309617,1525357924335724,26107
bub,73728,37,624,496,155,240,360,84,9,8,28,20,32,96,23,8,9208,28,18,32,36,80,8,192,96,21,254,603,1752,2358,1525357705956774,1525357706328158,371384
fac,160064,37,616,496,150,216,392,92,9,8,28,18,32,88,23,8,935,28,14,32,36,64,8,192,72,21,254,598,1752,2423,1525357822685075,1525357822705635,20560
fac,64,37,624,496,157,240,392,92,9,8,28,20,32,96,23,8,1903,28,3,32,36,80,8,192,96,21,254,618,1776,2528,1525357799115547,1525357799192441,76894
